z_m,initial_u_m_s-1,initial_v_m_s-1,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_u_m_s-1,final_les_v_m_s-1,final_les_buoyancy_m_s-2,final_les_passive_tracer
-1.3500000000e+02,-5.6770603270e-14,3.3376760346e-14,-4.6243063802e-04,-1.3054165938e-02,5.2773380392e-04,3.8984950920e-04,-4.6123071730e-04,-1.7870503304e+00
-1.3300000000e+02,-6.4049472266e-14,3.6301581639e-14,-4.5843063802e-04,-1.3051518735e-02,4.8300809079e-04,2.0400037893e-04,-4.5682238750e-04,-1.6869101186e+00
-1.3100000000e+02,-7.2493233337e-14,3.9557661636e-14,-4.5443063801e-04,-1.3043641744e-02,4.6386836677e-04,-9.5873693202e-05,-4.5180810205e-04,-1.5188141732e+00
-1.2900000000e+02,-8.2356878520e-14,4.3200530230e-14,-4.5043063801e-04,-1.3020964137e-02,3.5309432750e-04,-7.0248455678e-04,-4.4512580015e-04,-1.2593447728e+00
-1.2700000000e+02,-9.3857022268e-14,4.7270076261e-14,-4.4643063800e-04,-1.2962053893e-02,2.2076057920e-04,-2.0358461179e-03,-4.3583755945e-04,-9.1339739900e-01
-1.2500000000e+02,-1.0730080781e-13,5.1826192236e-14,-4.4243063799e-04,-1.2820103594e-02,-4.7273454283e-05,-4.6130826946e-03,-4.2334391411e-04,-4.7874711695e-01
-1.2300000000e+02,-1.2315821821e-13,5.6960154576e-14,-4.3843063797e-04,-1.2489626088e-02,-4.9725692854e-04,-8.7306177218e-03,-4.0789559626e-04,8.7114311079e-03
-1.2100000000e+02,-1.4190071080e-13,6.2755079660e-14,-4.3443063796e-04,-1.1776992594e-02,-8.4107481799e-04,-1.4362976354e-02,-3.8945911321e-04,5.1786950023e-01
-1.1900000000e+02,-1.6402894375e-13,6.9294397093e-14,-4.3043063794e-04,-1.0370319224e-02,-1.0580093438e-03,-2.0831441957e-02,-3.6924179251e-04,9.9473536322e-01
-1.1700000000e+02,-1.9043748841e-13,7.6734045916e-14,-4.2643063791e-04,-7.7077374746e-03,-1.1538590126e-03,-2.8009721136e-02,-3.4854685073e-04,1.4070593078e+00
-1.1500000000e+02,-2.2197583512e-13,8.5209636467e-14,-4.2243063788e-04,-3.0648183287e-03,-9.9015118835e-04,-3.5327982358e-02,-3.2742236033e-04,1.7442047079e+00
-1.1300000000e+02,-2.5960822030e-13,9.4865515724e-14,-4.1843063783e-04,4.3772899133e-03,-2.3037018876e-04,-4.2320773209e-02,-3.0798019114e-04,2.0115673047e+00
-1.1100000000e+02,-3.0524938373e-13,1.0600971468e-13,-4.1443063778e-04,1.5775805615e-02,9.8660338735e-04,-4.8743206839e-02,-2.9153705190e-04,2.2024273259e+00
-1.0900000000e+02,-3.6011328123e-13,1.1880499663e-13,-4.1043063771e-04,3.1504630918e-02,2.1200887810e-03,-5.4761679310e-02,-2.7682678029e-04,2.3467013910e+00
-1.0700000000e+02,-4.2689825982e-13,1.3365695415e-13,-4.0643063762e-04,5.1763585627e-02,3.3247475728e-03,-5.9991343796e-02,-2.6403555969e-04,2.4475542488e+00
-1.0500000000e+02,-5.0820346141e-13,1.5092429001e-13,-4.0243063750e-04,7.5487371369e-02,4.8580128427e-03,-6.4593396526e-02,-2.5287295119e-04,2.5108063271e+00
-1.0300000000e+02,-6.0762049711e-13,1.7111372012e-13,-3.9843063735e-04,1.0057667469e-01,6.7174852892e-03,-6.8747849071e-02,-2.4366500429e-04,2.5411534722e+00
-1.0100000000e+02,-7.3007171057e-13,1.9490382998e-13,-3.9443063717e-04,1.2394815832e-01,8.7926775599e-03,-7.2436259823e-02,-2.3594809977e-04,2.5555132038e+00
-9.9000000000e+01,-8.8086335474e-13,2.2299980048e-13,-3.9043063692e-04,1.4221096849e-01,1.1091163659e-02,-7.5578541468e-02,-2.2958337297e-04,2.5537119774e+00
-9.7000000000e+01,-1.0685454582e-12,2.5654167908e-13,-3.8643063661e-04,1.5212450835e-01,1.3131896871e-02,-7.8394311899e-02,-2.2465629325e-04,2.5360006342e+00
-9.5000000000e+01,-1.3014711593e-12,2.9662365867e-13,-3.8243063621e-04,1.5222424873e-01,1.4628639048e-02,-8.0886792755e-02,-2.2048145691e-04,2.5040708934e+00
-9.3000000000e+01,-1.5943400346e-12,3.4530881924e-13,-3.7843063570e-04,1.4213985705e-01,1.5503860072e-02,-8.3100561131e-02,-2.1740266561e-04,2.4653508124e+00
-9.1000000000e+01,-1.9614602092e-12,4.0422007585e-13,-3.7443063504e-04,1.2399219700e-01,1.6309432204e-02,-8.5076001447e-02,-2.1495087226e-04,2.4196151710e+00
-8.9000000000e+01,-2.4270326933e-12,4.7675179290e-13,-3.7043063418e-04,1.0056973248e-01,1.7026394454e-02,-8.6820265904e-02,-2.1294965139e-04,2.3714948205e+00
-8.7000000000e+01,-3.0171784860e-12,5.6620900902e-13,-3.6643063311e-04,7.5481225258e-02,1.7648768564e-02,-8.8350335216e-02,-2.1122077418e-04,2.3217066979e+00
-8.5000000000e+01,-3.7725263006e-12,6.7776604005e-13,-3.6243063171e-04,5.1758431667e-02,1.8351211160e-02,-8.9972020886e-02,-2.0967865190e-04,2.2710650103e+00
-8.3000000000e+01,-4.7416055358e-12,8.1829794680e-13,-3.5843062992e-04,3.1522473729e-02,1.8962257334e-02,-9.1341297539e-02,-2.0854536436e-04,2.2235778765e+00
-8.1000000000e+01,-5.9935035051e-12,9.9546908774e-13,-3.5443062760e-04,1.5736025303e-02,1.9524203393e-02,-9.2494294676e-02,-2.0761303069e-04,2.1802522642e+00
-7.9000000000e+01,-7.6219470332e-12,1.2225749117e-12,-3.5043062469e-04,4.4413746612e-03,2.0256769698e-02,-9.3527387750e-02,-2.0677804697e-04,2.1415763856e+00
-7.7000000000e+01,-9.7398740082e-12,1.5142185412e-12,-3.4643062096e-04,-3.1049327619e-03,2.0835374791e-02,-9.4513875949e-02,-2.0605262400e-04,2.1067411965e+00
-7.5000000000e+01,-1.2525197224e-11,1.8927316607e-12,-3.4243061190e-04,-7.7025036770e-03,2.1311791245e-02,-9.5363666218e-02,-2.0542449358e-04,2.0756794733e+00
-7.3000000000e+01,-1.6037740589e-11,2.3899280292e-12,-3.3843035579e-04,-1.0380474367e-02,2.1741115952e-02,-9.6147600867e-02,-2.0494196982e-04,2.0492985871e+00
-7.1000000000e+01,-2.8185044286e-11,2.7471861660e-12,-3.3077661370e-04,-1.1779794627e-02,2.2051635471e-02,-9.7236262369e-02,-2.0439987670e-04,2.0245068730e+00
-6.9000000000e+01,-3.7930825737e-11,3.4454062590e-12,-3.1077663682e-04,-1.2491735985e-02,2.2097449176e-02,-9.8557862785e-02,-2.0392787650e-04,2.0034163447e+00
-6.7000000000e+01,-4.9355224618e-11,4.4373603872e-12,-2.9077654881e-04,-1.2818968156e-02,2.2292447287e-02,-9.9770019837e-02,-2.0356662736e-04,1.9838987214e+00
-6.5000000000e+01,-6.4491627814e-11,5.7897663267e-12,-2.7077653167e-04,-1.2962694558e-02,2.2830666219e-02,-1.0075805718e-01,-2.0325188514e-04,1.9651939531e+00
-6.3000000000e+01,-8.4973426629e-11,7.6062326997e-12,-2.5077650907e-04,-1.3021384813e-02,2.3528989822e-02,-1.0154670277e-01,-2.0293964533e-04,1.9460638911e+00
-6.1000000000e+01,-1.1319285722e-10,1.0093191571e-11,-2.3077648023e-04,-1.3043485521e-02,2.4308736282e-02,-1.0236036399e-01,-2.0270261926e-04,1.9304711752e+00
-5.9000000000e+01,-1.5191071431e-10,1.3424170577e-11,-2.1077644304e-04,-1.3051574430e-02,2.5095956777e-02,-1.0303783482e-01,-2.0247967912e-04,1.9175027700e+00
-5.7000000000e+01,-2.0657599473e-10,1.8028143419e-11,-1.9077639506e-04,-1.3054173736e-02,2.5546955797e-02,-1.0373845176e-01,-2.0225664451e-04,1.9057497823e+00
-5.5000000000e+01,-2.8353609072e-10,2.4217549316e-11,-1.7077633437e-04,-1.3055020460e-02,2.5891491816e-02,-1.0453386983e-01,-2.0207411145e-04,1.8942516554e+00
-5.3000000000e+01,-3.9389389634e-10,3.2620679044e-11,-1.5077625560e-04,-1.3055264526e-02,2.6516930546e-02,-1.0559642607e-01,-2.0193343745e-04,1.8850067259e+00
-5.1000000000e+01,-5.5413159210e-10,4.3908993999e-11,-1.3077616280e-04,-1.3055332452e-02,2.7225961242e-02,-1.0669202111e-01,-2.0182632015e-04,1.8773370817e+00
-4.9000000000e+01,-7.8992062302e-10,5.8780172756e-11,-1.1077686908e-04,-1.3055350205e-02,2.7963020598e-02,-1.0726217068e-01,-2.0169692693e-04,1.8693545846e+00
-4.7000000000e+01,-1.0487811215e-09,8.6471080614e-11,-9.3999520744e-05,-1.3055354356e-02,2.8753619540e-02,-1.0784197716e-01,-2.0154980978e-04,1.8609145653e+00
-4.5000000000e+01,-1.5198261240e-09,1.1575351569e-10,-8.9998792053e-05,-1.3055355344e-02,2.9705757742e-02,-1.0859719096e-01,-2.0143367461e-04,1.8529703489e+00
-4.3000000000e+01,-2.2850545508e-09,1.5039167546e-10,-8.5998797639e-05,-1.3055355546e-02,3.0949024472e-02,-1.0956407465e-01,-2.0131841477e-04,1.8457684936e+00
-4.1000000000e+01,-3.4893367480e-09,1.8922267684e-10,-8.1998454823e-05,-1.3055355588e-02,3.2359165238e-02,-1.1032506081e-01,-2.0120984284e-04,1.8403984148e+00
-3.9000000000e+01,-5.4089709169e-09,2.3027469266e-10,-7.7998015885e-05,-1.3055355595e-02,3.4069026118e-02,-1.1096945756e-01,-2.0113300734e-04,1.8354075820e+00
-3.7000000000e+01,-8.5796325016e-09,2.5740144360e-10,-7.3997448241e-05,-1.3055355597e-02,3.6018385574e-02,-1.1188622419e-01,-2.0102521146e-04,1.8293086449e+00
-3.5000000000e+01,-1.3822321743e-08,2.4505233174e-10,-6.9996721348e-05,-1.3055355597e-02,3.7986022469e-02,-1.1291251508e-01,-2.0098847168e-04,1.8259288326e+00
-3.3000000000e+01,-2.2961618408e-08,1.3465976696e-10,-6.5995775703e-05,-1.3055355597e-02,4.0061541831e-02,-1.1394037758e-01,-2.0092698486e-04,1.8208517642e+00
-3.1000000000e+01,-3.9036063554e-08,-2.1103823432e-10,-6.1994558281e-05,-1.3055355597e-02,4.2455680354e-02,-1.1489925862e-01,-2.0086627308e-04,1.8154909460e+00
-2.9000000000e+01,-6.8391295354e-08,-9.9808744544e-10,-5.7992945200e-05,-1.3055355597e-02,4.5347390535e-02,-1.1592807647e-01,-2.0082111225e-04,1.8116179949e+00
-2.7000000000e+01,-1.2491276430e-07,-2.7510562020e-09,-5.3990921125e-05,-1.3055355597e-02,4.9059993568e-02,-1.1668736842e-01,-2.0080748153e-04,1.8103703263e+00
-2.5000000000e+01,-2.3566901511e-07,-6.3148931030e-09,-4.9988246456e-05,-1.3055355597e-02,5.3263221263e-02,-1.1759203534e-01,-2.0080020049e-04,1.8104547714e+00
-2.3000000000e+01,-4.7611809400e-07,-1.3557752413e-08,-4.5984632509e-05,-1.3055355597e-02,5.7954347482e-02,-1.1866239010e-01,-2.0080041501e-04,1.8101055076e+00
-2.1000000000e+01,-1.0199594163e-06,-2.7369320983e-08,-4.1979758068e-05,-1.3055355597e-02,6.2801380650e-02,-1.1953879748e-01,-2.0078612645e-04,1.8081948758e+00
-1.9000000000e+01,-2.3906735843e-06,-5.1807648957e-08,-3.7972858858e-05,-1.3055355597e-02,6.7885587089e-02,-1.2070606801e-01,-2.0078709597e-04,1.8063666969e+00
-1.7000000000e+01,-7.1718233421e-06,-1.1885393962e-07,-3.3960187771e-05,-1.3055355597e-02,7.3619466813e-02,-1.2173735735e-01,-2.0076592919e-04,1.8047630699e+00
-1.5000000000e+01,-2.2711022691e-05,-1.2046043351e-06,-2.9923667598e-05,-1.3055355597e-02,8.0238324767e-02,-1.2270883101e-01,-2.0075686580e-04,1.8043070109e+00
-1.3000000000e+01,-1.2400936325e-04,-5.1422103712e-06,-2.5760350025e-05,-1.3055355597e-02,8.8207103099e-02,-1.2374885018e-01,-2.0079344349e-04,1.8055270444e+00
-1.1000000000e+01,-3.5669159873e-04,4.0971454761e-06,-2.1344014065e-05,-1.3055355597e-02,9.7357285193e-02,-1.2496461276e-01,-2.0080042848e-04,1.8058347657e+00
-9.0000000000e+00,-2.3961511348e-04,4.6329861045e-05,-1.6729328864e-05,-1.3055355597e-02,1.0837392273e-01,-1.2619545794e-01,-2.0081682973e-04,1.8070605075e+00
-7.0000000000e+00,2.8776395654e-03,-8.7236923795e-06,-1.2432503309e-05,-1.3055355597e-02,1.2327465850e-01,-1.2702092201e-01,-2.0083127260e-04,1.8098294507e+00
-5.0000000000e+00,1.4169731569e-02,-4.9836112088e-04,-8.9240072775e-06,-1.3055355597e-02,1.4451074234e-01,-1.2739094157e-01,-2.0087000368e-04,1.8127389425e+00
-3.0000000000e+00,4.4284378652e-02,-1.5463185766e-03,-6.6637067867e-06,-1.3055355597e-02,1.8099376076e-01,-1.2827877278e-01,-2.0087688266e-04,1.8137335721e+00
-1.0000000000e+00,1.3358324089e-01,-3.9795356807e-03,-5.3683174130e-06,-1.3055355597e-02,2.7770513252e-01,-1.2905099742e-01,-2.0091615785e-04,1.8162188543e+00
